oct-18;97114;133662;Espanya
sep-18;76247;108064;Espanya
ago-18;114999;145727;Espanya
jul-18;139406;179722;Espanya
jun-18;151747;192695;Espanya
may-18;145122;185136;Espanya
abr-18;125642;160405;Espanya
mar-18;137820;170570;Espanya
feb-18;119598;148269;Espanya
ene-18;109326;139216;Espanya
dic-17;111422;137573;Espanya
nov-17;113812;146895;Espanya
oct-17;103840;137199;Espanya
sep-17;91471;121656;Espanya
ago-17;80582;105787;Espanya
jul-17;119773;154826;Espanya
jun-17;141251;179191;Espanya
may-17;136168;171258;Espanya
abr-17;109396;137799;Espanya
mar-17;135459;168056;Espanya
feb-17;106556;129239;Espanya
ene-17;91897;114758;Espanya
dic-16;104419;139141;Espanya
nov-16;99985;130970;Espanya
oct-16;90041;120310;Espanya
sep-16;86478;117941;Espanya
ago-16;69985;93826;Espanya
jul-16;114862;148126;Espanya
jun-16;131759;168969;Espanya
may-16;120060;152523;Espanya
abr-16;107444;138664;Espanya
mar-16;119302;146990;Espanya
feb-16;104006;128467;Espanya
ene-16;81731;103998;Espanya
dic-15;94614;119891;Espanya
nov-15;87521;113050;Espanya
oct-15;86664;116071;Espanya
sep-15;76601;103710;Espanya
ago-15;60733;80788;Espanya
jul-15;108646;144179;Espanya
jun-15;115536;149317;Espanya
may-15;97768;127317;Espanya
abr-15;86299;113194;Espanya
mar-15;115785;145597;Espanya
feb-15;89965;110180;Espanya
ene-15;70863;89504;Espanya
dic-14;76693;96948;Espanya
nov-14;68075;87735;Espanya
oct-14;79645;106396;Espanya
sep-14;59775;80533;Espanya
ago-14;48102;63463;Espanya
jul-14;80707;105940;Espanya
jun-14;92520;116573;Espanya
may-14;84852;108907;Espanya
abr-14;82321;105679;Espanya
mar-14;81812;101974;Espanya
feb-14;70914;87406;Espanya
ene-14;53360;68515;Espanya
dic-13;62239;77978;Espanya
nov-13;55205;71135;Espanya
oct-13;62260;83605;Espanya
sep-13;47056;64059;Espanya
ago-13;41706;55733;Espanya
jul-13;77425;99921;Espanya
jun-13;74488;95269;Espanya
may-13;71861;91465;Espanya
abr-13;56023;72447;Espanya
mar-13;73892;89343;Espanya
feb-13;59419;72334;Espanya
ene-13;50729;63704;Espanya
dic-12;52044;64374;Espanya
nov-12;42399;55992;Espanya
oct-12;46178;64084;Espanya
sep-12;36309;51290;Espanya
ago-12;50351;67297;Espanya
jul-12;66249;88965;Espanya
jun-12;74191;96637;Espanya
may-12;73520;94209;Espanya
abr-12;56859;74563;Espanya
mar-12;85059;106809;Espanya
feb-12;65202;81360;Espanya
ene-12;55447;70758;Espanya
dic-11;66886;85208;Espanya
nov-11;52734;69746;Espanya
oct-11;58366;80884;Espanya
sep-11;56326;78786;Espanya
ago-11;48262;66393;Espanya
jul-11;79591;107307;Espanya
jun-11;84004;113309;Espanya
may-11;79317;106018;Espanya
abr-11;72413;96722;Espanya
mar-11;88947;116457;Espanya
feb-11;67028;87188;Espanya
ene-11;54416;72239;Espanya
dic-10;69964;91318;Espanya
nov-10;65706;88249;Espanya
oct-10;62592;86365;Espanya
sep-10;57875;80389;Espanya
ago-10;46572;64325;Espanya
jul-10;83840;112451;Espanya
jun-10;122610;158239;Espanya
may-10;104497;134696;Espanya
abr-10;95415;122551;Espanya
mar-10;126654;155303;Espanya
feb-10;93070;114310;Espanya
ene-10;71260;90344;Espanya
dic-09;92087;115566;Espanya
nov-09;88484;112457;Espanya
oct-09;100731;127255;Espanya
sep-09;79329;103020;Espanya
ago-09;60404;80482;Espanya
jul-09;110678;143610;Espanya
jun-09;98296;127650;Espanya
may-09;72302;96148;Espanya
abr-09;67828;91138;Espanya
mar-09;77101;101476;Espanya
feb-09;63297;81465;Espanya
ene-09;60662;78448;Espanya
dic-08;72766;101718;Espanya
nov-08;64346;88173;Espanya
oct-08;79684;112280;Espanya
sep-08;67363;98123;Espanya
ago-08;60723;89950;Espanya
jul-08;123971;175010;Espanya
jun-08;116656;160710;Espanya
may-08;118085;164163;Espanya
abr-08;125526;177875;Espanya
mar-08;126357;168777;Espanya
feb-08;124837;168676;Espanya
ene-08;104958;145354;Espanya
dic-07;138146;194328;Espanya
nov-07;125387;178509;Espanya
oct-07;130445;188202;Espanya
sep-07;98673;144952;Espanya
